State,Total,Year
Utah,374709,1960
Vermont,167324,1960
Virginia,771449,1960
Washington,1241572,1960
West Virginia,837781,1960
Wisconsin,1729082,1960
Wyoming,140782,1960
Nationwi,62021979,1956
Alabama,496871,1956
Arizona,290173,1956
Arkansas,406572,1956
California,5466355,1956
Colorado,663074,1956
Connecticut,1117121,1956
Delaware,177988,1956
Florida,1124220,1956
Georgia,663480,1956
Idaho,272989,1956
Illinois,4407407,1956
Indiana,1974607,1956
Iowa,1234564,1956
Kansas,866243,1956
Kentucky,1053805,1956
Louisiana,617544,1956
Maine,351706,1956
Maryland,932351,1956
Massachusetts,2348506,1956
Michigan,3080468,1956
Minnesota,1340005,1956
Mississippi,248149,1956
Missouri,1832562,1956
Montana,271171,1956
Nebraska,577137,1956
Nevada,96689,1956
New Hampshire,266994,1956
New Jersey,2484312,1956
New Mexico,253926,1956
New York,7093336,1956
North Carolina,1165592,1956
North Dakota,253991,1956
Ohio,3702265,1956
Oklahoma,859350,1956
Oregon,735597,1956
Pennsylvania,4576503,1956
Rhode Island,387611,1956
South Carolina,300583,1956
South Dakota,293857,1956
Tennessee,939404,1956
Texas,1955545,1956
Utah,333995,1956
Vermont,152978,1956
Virginia,697978,1956
Washington,1150889,1956
West Virginia,830831,1956
Wisconsin,1550558,1956
Wyoming,124127,1956
Nationwi,61751942,1952
Alabama,426120,1952
Arizona,260570,1952
Arkansas,404800,1952
California,5341603,1952
Colorado,630103,1952
Connecticut,1096911,1952
Delaware,174025,1952
Florida,989337,1952
Georgia,655803,1952
Idaho,276231,1952
Illinois,4481058,1952
Indiana,1955325,1952
Iowa,1268773,1952
Kansas,896166,1952
Kentucky,993148,1952
Louisiana,651952,1952
Maine,351786,1952
Maryland,902074,1952
Massachusetts,2383398,1952
Michigan,2798592,1952
Minnesota,1379483,1952
Mississippi,285532,1952
Missouri,1892062,1952
Montana,265037,1952
Nebraska,609660,1952
Nevada,82190,1952
New Hampshire,272950,1952
New Jersey,2419554,1952
New Mexico,238608,1952
New York,7128241,1952
North Carolina,1210910,1952
North Dakota,270127,1952
Ohio,3700758,1952
Oklahoma,948984,1952
Oregon,695059,1952
Pennsylvania,4580969,1952
Rhode Island,414498,1952
South Carolina,341086,1952
South Dakota,294283,1952
Tennessee,892553,1952
Texas,2075946,1952
Utah,329554,1952
Vermont,153557,1952
Virginia,619689,1952
Washington,1102708,1952
West Virginia,873548,1952
Wisconsin,1607370,1952
Wyoming,129251,1952
Nationwi,48794710,1948
Alabama,214980,1948
Arizona,177065,1948
Arkansas,242475,1948
California,4021538,1948
Colorado,515237,1948
Connecticut,883518,1948
Delaware,139073,1948
Florida,577643,1948
Georgia,418764,1948
Idaho,214816,1948
Illinois,3984046,1948
Indiana,1656214,1948
Iowa,1038272,1948
Kansas,788819,1948
Kentucky,822658,1948
Louisiana,416336,1948
Maine,264789,1948
Maryland,596735,1948
Massachusetts,2107146,1948
Michigan,2109609,1948
Minnesota,1212226,1948
Mississippi,192190,1948
Missouri,1578628,1948
Montana,224278,1948
Nebraska,488940,1948
Nevada,62117,1948
New Hampshire,231440,1948
New Jersey,1949555,1948
New Mexico,187063,1948
New York,6178502,1948
North Carolina,791209,1948
North Dakota,220716,1948
Ohio,2936071,1948
Oklahoma,721599,1948
Oregon,524080,1948
Pennsylvania,3735148,1948
Rhode Island,327702,1948
South Carolina,142571,1948
South Dakota,250105,1948
Tennessee,550283,1948
Texas,1249577,1948
Utah,276305,1948
Vermont,123382,1948
Virginia,419256,1948
Washington,905059,1948
West Virginia,748750,1948
Wisconsin,1276800,1948
Wyoming,101425,1948
Nationwi,47977092,1944
Alabama,244743,1944
Arizona,137634,1944
Arkansas,212954,1944
California,3520875,1944
Colorado,505039,1944
Connecticut,831990,1944
Delaware,125361,1944
Florida,482592,1944
Georgia,328109,1944
Idaho,208321,1944
Illinois,4036061,1944
Indiana,1672091,1944
Iowa,1052599,1944
Kansas,733776,1944
Kentucky,867921,1944
Louisiana,349383,1944
Maine,296400,1944
Maryland,608439,1944
Massachusetts,1960665,1944
Michigan,2205223,1944
Minnesota,1125529,1944
Mississippi,180080,1944
Missouri,1572474,1944
Montana,207355,1944
Nebraska,563126,1944
Nevada,54234,1944
New Hampshire,229627,1944
New Jersey,1963761,1944
New Mexico,152225,1944
New York,6316817,1944
North Carolina,790554,1944
North Dakota,220171,1944
Ohio,3153056,1944
Oklahoma,722636,1944
Oregon,480147,1944
Pennsylvania,3794793,1944
Rhode Island,299276,1944
South Carolina,103375,1944
South Dakota,232076,1944
Tennessee,510692,1944
Texas,1150331,1944
Utah,248319,1944
Vermont,125361,1944
Virginia,388485,1944
Washington,856328,1944
West Virginia,715596,1944
Wisconsin,1339152,1944
Wyoming,101340,1944
Nationwi,49912852,1940
Alabama,294219,1940
Arizona,150039,1940
Arkansas,200743,1940
California,3268791,1940
Colorado,549004,1940
Connecticut,781502,1940
Delaware,136374,1940
Florida,485492,1940
Georgia,312551,1940
Idaho,235168,1940
Illinois,4217935,1940
Indiana,1782747,1940
Iowa,1215430,1940
Kansas,860297,1940
Kentucky,970163,1940
Louisiana,372305,1940
Maine,320840,1940
Maryland,660117,1940
Massachusetts,2026993,1940
Michigan,2085929,1940
Minnesota,1251188,1940
Mississippi,175824,1940
Missouri,1833729,1940
Montana,247873,1940
Nebraska,615878,1940
Nevada,53174,1940
New Hampshire,235419,1940
New Jersey,1972552,1940
New Mexico,183258,1940
New York,6313897,1940
North Carolina,822648,1940
North Dakota,280775,1940
Ohio,3319912,1940
Oklahoma,826212,1940
Oregon,481240,1940
Pennsylvania,4078714,1940
Rhode Island,321148,1940
South Carolina,99832,1940
South Dakota,308427,1940
Tennessee,522823,1940
Texas,1124531,1940
Utah,247819,1940
Vermont,143062,1940
Virginia,346607,1940
Washington,793833,1940
West Virginia,868076,1940
Wisconsin,1405522,1940
Wyoming,112240,1940
Nationwi,45654388,1936
Alabama,275744,1936
Arizona,124163,1936
Arkansas,179423,1936
California,2638882,1936
Colorado,488684,1936
Connecticut,690723,1936
Delaware,127603,1936
Florida,327432,1936
Georgia,293178,1936
Idaho,199617,1936
Illinois,3956522,1936
Indiana,1650897,1936
Iowa,1142733,1936
Kansas,865514,1936
Kentucky,926206,1936
Louisiana,329778,1936
Maine,304240,1936
Maryland,624896,1936
Massachusetts,1840357,1936
Michigan,1805098,1936
Minnesota,1129975,1936
Mississippi,162142,1936
Missouri,1828635,1936
Montana,230512,1936
Nebraska,608023,1936
Nevada,43848,1936
New Hampshire,218114,1936
New Jersey,1820437,1936
New Mexico,169136,1936
New York,5596398,1936
North Carolina,839464,1936
North Dakota,273716,1936
Ohio,3012589,1936
Oklahoma,749740,1936
Oregon,414021,1936
Pennsylvania,4138426,1936
Rhode Island,311178,1936
South Carolina,115437,1936
South Dakota,296452,1936
Tennessee,475538,1936
Texas,849736,1936
Utah,216677,1936
Vermont,143689,1936
Virginia,334590,1936
Washington,692338,1936
West Virginia,829945,1936
Wisconsin,1258560,1936
Wyoming,103382,1936
Nationwi,39752454,1932
Alabama,245354,1932
Arizona,118251,1932
Arkansas,220562,1932
California,2267966,1932
Colorado,457696,1932
Connecticut,594183,1932
Delaware,112901,1932
Florida,276252,1932
Georgia,255590,1932
Idaho,186625,1932
Illinois,3407926,1932
Indiana,1576927,1932
Iowa,1036687,1932
Kansas,791978,1932
Kentucky,983063,1932
Louisiana,268804,1932
Maine,298444,1932
Maryland,511054,1932
Massachusetts,1580114,1932
Michigan,1664765,1932
Minnesota,1002843,1932
Mississippi,146034,1932
Missouri,1609894,1932
Montana,216479,1932
Nebraska,570137,1932
Nevada,41430,1932
New Hampshire,205520,1932
New Jersey,1630063,1932
New Mexico,151606,1932
New York,4688614,1932
North Carolina,711501,1932
North Dakota,256290,1932
Ohio,2609728,1932
Oklahoma,704633,1932
Oregon,368808,1932
Pennsylvania,2859177,1932
Rhode Island,266170,1932
South Carolina,104407,1932
South Dakota,288438,1932
Tennessee,390256,1932
Texas,863426,1932
Utah,206578,1932
Vermont,136980,1932
Virginia,297942,1932
Washington,614814,1932
West Virginia,743774,1932
Wisconsin,1114808,1932
Wyoming,96962,1932
Nationwi,36808961,1928
Alabama,248981,1928
Arizona,91254,1928
Arkansas,197693,1928
California,1796656,1928
Colorado,392242,1928
Connecticut,553124,1928
Delaware,105891,1928
Florida,253674,1928
Georgia,229158,1928
Idaho,151541,1928
Illinois,3107489,1928
Indiana,1421314,1928
Iowa,1009489,1928
Kansas,713200,1928
Kentucky,941274,1928
Louisiana,215833,1928
Maine,262171,1928
Maryland,528348,1928
Massachusetts,1577823,1928
